period,number,big_small,color
60000,2,S,G
60001,2,S,G
60002,8,B,G
60003,4,S,R
60004,7,B,R
60005,8,B,G
60006,2,S,G
60007,0,S,B
60008,7,B,R
60009,9,B,B
60010,0,S,B
60011,8,B,G
60012,4,S,R
60013,0,S,B
60014,8,B,G
60015,5,B,G
60016,0,S,B
60017,5,B,G
60018,1,S,R
60019,8,B,G
60020,6,B,B
60021,8,B,G
60022,9,B,B
60023,9,B,B
60024,1,S,R
60025,2,S,G
60026,8,B,G
60027,4,S,R
60028,8,B,G
60029,2,S,G
60030,8,B,G
60031,0,S,B
60032,6,B,B
60033,4,S,R
60034,8,B,G
60035,7,B,R
60036,8,B,G
60037,8,B,G
60038,5,B,G
60039,2,S,G
60040,6,B,B
60041,4,S,R
60042,1,S,R
60043,2,S,G
60044,5,B,G
60045,2,S,G
60046,0,S,B
60047,6,B,B
60048,2,S,G
60049,2,S,G
60050,1,S,R
60051,9,B,B
60052,3,S,B
60053,8,B,G
60054,6,B,B
60055,8,B,G
60056,7,B,R
60057,8,B,G
60058,9,B,B
60059,9,B,B
60060,1,S,R
60061,3,S,B
60062,4,S,R
60063,3,S,B
60064,5,B,G
60065,0,S,B
60066,2,S,G
60067,8,B,G
60068,3,S,B
60069,4,S,R
60070,8,B,G
60071,0,S,B
60072,9,B,B
60073,1,S,R
60074,4,S,R
60075,8,B,G
60076,0,S,B
60077,8,B,G
60078,8,B,G
60079,4,S,R
60080,7,B,R
60081,6,B,B
60082,0,S,B
60083,2,S,G
60084,0,S,B
60085,4,S,R
60086,5,B,G
60087,7,B,R
60088,7,B,R
60089,4,S,R
60090,3,S,B
60091,8,B,G
60092,0,S,B
60093,3,S,B
60094,5,B,G
60095,3,S,B
60096,9,B,B
60097,9,B,B
60098,0,S,B
60099,4,S,R
60100,0,S,B
60101,9,B,B
60102,0,S,B
60103,2,S,G
60104,8,B,G
60105,2,S,G
60106,0,S,B
60107,8,B,G
60108,8,B,G
60109,5,B,G
60110,8,B,G
60111,9,B,B
60112,3,S,B
60113,8,B,G
60114,9,B,B
60115,2,S,G
60116,0,S,B
60117,0,S,B
60118,9,B,B
60119,5,B,G
60120,9,B,B
60121,0,S,B
60122,2,S,G
60123,1,S,R
60124,5,B,G
60125,6,B,B
60126,3,S,B
60127,8,B,G
60128,1,S,R
60129,3,S,B
60130,8,B,G
60131,6,B,B
60132,9,B,B
60133,7,B,R
60134,5,B,G
60135,4,S,R
60136,8,B,G
60137,4,S,R
60138,7,B,R
60139,6,B,B
60140,3,S,B
60141,4,S,R
60142,0,S,B
60143,6,B,B
60144,0,S,B
60145,7,B,R
60146,7,B,R
60147,4,S,R
60148,3,S,B
60149,6,B,B
60150,2,S,G
60151,1,S,R
60152,5,B,G
60153,8,B,G
60154,4,S,R
60155,4,S,R
60156,9,B,B
60157,9,B,B
60158,4,S,R
60159,0,S,B
60160,6,B,B
60161,8,B,G
60162,6,B,B
60163,8,B,G
60164,7,B,R
60165,0,S,B
60166,2,S,G
60167,2,S,G
60168,3,S,B
60169,3,S,B
60170,5,B,G
60171,3,S,B
60172,4,S,R
60173,4,S,R
60174,5,B,G
60175,1,S,R
60176,2,S,G
60177,4,S,R
60178,1,S,R
60179,7,B,R
60180,9,B,B
60181,7,B,R
60182,0,S,B
60183,0,S,B
60184,8,B,G
60185,4,S,R
60186,0,S,B
60187,1,S,R
60188,4,S,R
60189,8,B,G
60190,8,B,G
60191,7,B,R
60192,0,S,B
60193,6,B,B
60194,1,S,R
60195,1,S,R
60196,0,S,B
60197,0,S,B
60198,3,S,B
60199,5,B,G
60200,6,B,B
60201,6,B,B
60202,1,S,R
60203,2,S,G
60204,4,S,R
60205,7,B,R
60206,5,B,G
60207,8,B,G
60208,1,S,R
60209,1,S,R
60210,8,B,G
60211,5,B,G
60212,6,B,B
60213,7,B,R
60214,5,B,G
60215,6,B,B
60216,4,S,R
60217,7,B,R
60218,4,S,R
60219,7,B,R
60220,9,B,B
60221,2,S,G
60222,8,B,G
60223,2,S,G
60224,7,B,R
60225,9,B,B
60226,8,B,G
60227,8,B,G
60228,6,B,B
60229,7,B,R
60230,6,B,B
60231,9,B,B
60232,3,S,B
60233,1,S,R
60234,7,B,R
60235,2,S,G
60236,4,S,R
60237,9,B,B
60238,9,B,B
60239,7,B,R
60240,5,B,G
60241,1,S,R
60242,7,B,R
60243,0,S,B
60244,2,S,G
60245,2,S,G
60246,5,B,G
60247,1,S,R
60248,0,S,B
60249,2,S,G
60250,3,S,B
60251,4,S,R
60252,2,S,G
60253,6,B,B
60254,1,S,R
60255,3,S,B
60256,7,B,R
60257,1,S,R
60258,8,B,G
60259,1,S,R
60260,1,S,R
60261,6,B,B
60262,9,B,B
60263,5,B,G
60264,3,S,B
60265,7,B,R
60266,2,S,G
60267,2,S,G
60268,2,S,G
60269,9,B,B
60270,4,S,R
60271,8,B,G
60272,4,S,R
60273,4,S,R
60274,7,B,R
60275,8,B,G
60276,4,S,R
60277,9,B,B
60278,4,S,R
60279,4,S,R
60280,0,S,B
60281,1,S,R
60282,6,B,B
60283,3,S,B
60284,4,S,R
60285,7,B,R
60286,8,B,G
60287,5,B,G
60288,1,S,R
60289,4,S,R
60290,9,B,B
60291,1,S,R
60292,4,S,R
60293,0,S,B
60294,4,S,R
60295,8,B,G
60296,0,S,B
60297,1,S,R
60298,8,B,G
60299,9,B,B
60300,0,S,B
60301,3,S,B
60302,9,B,B
60303,5,B,G
60304,6,B,B
60305,2,S,G
60306,9,B,B
60307,8,B,G
60308,7,B,R
60309,1,S,R
60310,9,B,B
60311,0,S,B
60312,0,S,B
60313,2,S,G
60314,4,S,R
60315,7,B,R
60316,0,S,B
60317,7,B,R
60318,6,B,B
60319,1,S,R
60320,2,S,G
60321,4,S,R
60322,5,B,G
60323,0,S,B
60324,9,B,B
60325,0,S,B
60326,4,S,R
60327,7,B,R
60328,7,B,R
60329,6,B,B
60330,5,B,G
60331,0,S,B
60332,8,B,G
60333,4,S,R
60334,2,S,G
60335,1,S,R
60336,6,B,B
60337,2,S,G
60338,6,B,B
60339,0,S,B
60340,7,B,R
60341,9,B,B
60342,8,B,G
60343,1,S,R
60344,4,S,R
60345,7,B,R
60346,2,S,G
60347,1,S,R
60348,7,B,R
60349,7,B,R
60350,0,S,B
60351,3,S,B
60352,2,S,G
60353,8,B,G
60354,9,B,B
60355,1,S,R
60356,1,S,R
60357,9,B,B
60358,1,S,R
60359,7,B,R
60360,0,S,B
60361,8,B,G
60362,9,B,B
60363,2,S,G
60364,5,B,G
60365,1,S,R
60366,5,B,G
60367,8,B,G
60368,1,S,R
60369,5,B,G
60370,3,S,B
60371,4,S,R
60372,6,B,B
60373,6,B,B
60374,9,B,B
60375,8,B,G
60376,1,S,R
60377,2,S,G
60378,6,B,B
60379,8,B,G
60380,9,B,B
60381,9,B,B
60382,3,S,B
60383,0,S,B
60384,7,B,R
60385,2,S,G
60386,4,S,R
60387,4,S,R
60388,8,B,G
60389,0,S,B
60390,5,B,G
60391,8,B,G
60392,9,B,B
60393,8,B,G
60394,2,S,G
60395,3,S,B
60396,4,S,R
60397,4,S,R
60398,8,B,G
60399,1,S,R
60400,6,B,B
60401,9,B,B
60402,0,S,B
60403,6,B,B
60404,9,B,B
60405,2,S,G
60406,5,B,G
60407,3,S,B
60408,1,S,R
60409,0,S,B
60410,4,S,R
60411,2,S,G
60412,0,S,B
60413,7,B,R
60414,0,S,B
60415,2,S,G
60416,6,B,B
60417,6,B,B
60418,4,S,R
60419,6,B,B
60420,3,S,B
60421,8,B,G
60422,8,B,G
60423,3,S,B
60424,5,B,G
60425,6,B,B
60426,2,S,G
60427,5,B,G
60428,6,B,B
60429,8,B,G
60430,7,B,R
60431,7,B,R
60432,5,B,G
60433,5,B,G
60434,2,S,G
60435,4,S,R
60436,0,S,B
60437,9,B,B
60438,9,B,B
60439,4,S,R
60440,9,B,B
60441,7,B,R
60442,8,B,G
60443,9,B,B
60444,0,S,B
60445,2,S,G
60446,9,B,B
60447,9,B,B
60448,3,S,B
60449,4,S,R
60450,9,B,B
60451,5,B,G
60452,1,S,R
60453,5,B,G
60454,3,S,B
60455,8,B,G
60456,8,B,G
60457,3,S,B
60458,5,B,G
60459,7,B,R
60460,8,B,G
60461,3,S,B
60462,9,B,B
60463,2,S,G
60464,6,B,B
60465,7,B,R
60466,1,S,R
60467,6,B,B
60468,9,B,B
60469,2,S,G
60470,7,B,R
60471,0,S,B
60472,1,S,R
60473,1,S,R
60474,6,B,B
60475,9,B,B
60476,9,B,B
60477,9,B,B
60478,8,B,G
60479,8,B,G
60480,4,S,R
60481,1,S,R
60482,8,B,G
60483,6,B,B
60484,3,S,B
60485,7,B,R
60486,0,S,B
60487,1,S,R
60488,4,S,R
60489,0,S,B
60490,5,B,G
60491,4,S,R
60492,4,S,R
60493,7,B,R
60494,7,B,R
60495,1,S,R
60496,0,S,B
60497,2,S,G
60498,1,S,R
60499,8,B,G
60500,2,S,G
60501,5,B,G
60502,3,S,B
60503,0,S,B
60504,9,B,B
60505,4,S,R
60506,5,B,G
60507,5,B,G
60508,5,B,G
60509,0,S,B
60510,0,S,B
60511,5,B,G
60512,2,S,G
60513,5,B,G
60514,2,S,G
60515,4,S,R
60516,4,S,R
60517,9,B,B
60518,2,S,G
60519,2,S,G
60520,2,S,G
60521,2,S,G
60522,0,S,B
60523,9,B,B
60524,5,B,G
60525,3,S,B
60526,8,B,G
60527,0,S,B
60528,9,B,B
60529,4,S,R
60530,5,B,G
60531,0,S,B
60532,6,B,B
60533,9,B,B
60534,4,S,R
60535,3,S,B
60536,3,S,B
60537,6,B,B
60538,0,S,B
60539,9,B,B
60540,5,B,G
60541,3,S,B
60542,7,B,R
60543,8,B,G
60544,5,B,G
60545,4,S,R
60546,2,S,G
60547,1,S,R
60548,5,B,G
60549,2,S,G
60550,7,B,R
60551,4,S,R
60552,0,S,B
60553,1,S,R
60554,7,B,R
60555,8,B,G
60556,2,S,G
60557,9,B,B
60558,0,S,B
60559,4,S,R
60560,0,S,B
60561,8,B,G
60562,1,S,R
60563,3,S,B
60564,5,B,G
60565,2,S,G
60566,0,S,B
60567,1,S,R
60568,4,S,R
60569,6,B,B
60570,4,S,R
60571,1,S,R
60572,7,B,R
60573,8,B,G
60574,7,B,R
60575,4,S,R
60576,0,S,B
60577,4,S,R
60578,8,B,G
60579,3,S,B
60580,1,S,R
60581,1,S,R
60582,5,B,G
60583,6,B,B
60584,5,B,G
60585,9,B,B
60586,9,B,B
60587,4,S,R
60588,9,B,B
60589,7,B,R
60590,5,B,G
60591,4,S,R
60592,0,S,B
60593,2,S,G
60594,6,B,B
60595,1,S,R
